"StudyArea" "YearsDivided" "Habitat" "lat" "lon"
"327" "Terschelling" "1961 - 1980 " "Grassland (not salty)" 53.39073 5.22939
"328" "Terschelling" "1981 - 2000 " "Marsh" 53.40325 5.3088
"329" "Terschelling" "1937 - 1960" "Open water" 53.38173 5.21439
"330" "Terschelling" "1937 - 1960" "Grassland (not salty)" 53.42677 5.40977
"331" "Terschelling" "1937 - 1960" "Grassland (not salty)" 53.39981 5.33459
"332" "Terschelling" "1981 - 2000 " "Heathland" 53.39359 5.25395
"333" "Terschelling" "2001 - 2013" "Saltmarch" 53.43062 5.52799
"334" "Terschelling" "1981 - 2000 " "Saltmarch" 53.37283 5.28955
"335" "Terschelling" "2001 - 2013" "Saltmarch" 53.43713 5.49156
"336" "Terschelling" "1961 - 1980 " "Grassland (not salty)" 53.42093 5.39999
"337" "Terschelling" "1961 - 1980 " "Open water" 53.36383 5.27455
"338" "Terschelling" "1961 - 1980 " "Heathland" 53.4088 5.4248
"339" "Terschelling" "2001 - 2013" "Saltmarch" 53.43055 5.5
"340" "Terschelling" "1981 - 2000 " "Open water" 53.38184 5.33461
"341" "Terschelling" "1961 - 1980 " "Saltmarch" 53.41777 5.45489
"342" "Terschelling" "1961 - 1980 " "Grassland (not salty)" 53.42677 5.40977
"343" "Terschelling" "1937 - 1960" "Open water" 53.38168 5.18434
"344" "Terschelling" "1981 - 2000 " "Grassland (not salty)" 53.39033 5.27223
"345" "Terschelling" "1937 - 1960" "Heathland" 53.39929 5.24664
"346" "Terschelling" "1937 - 1960" "Open water" 53.40866 5.19925
"347" "Terschelling" "1961 - 1980 " "Grassland (not salty)" 53.41779 5.39473
"348" "Terschelling" "1981 - 2000 " "Heathland" 53.4088 5.39473
"349" "Terschelling" "1961 - 1980 " "Grassland (not salty)" 53.38669 5.22715
"350" "Terschelling" "1981 - 2000 " "Grassland (not salty)" 53.41103 5.31578
"351" "Terschelling" "1937 - 1960" "Marsh" 53.39066 5.1843
"352" "Terschelling" "2001 - 2013" "Saltmarch" 53.42639 5.43568
"353" "Terschelling" "1981 - 2000 " "Grassland (not salty)" 53.40114 5.25198
